3783 14124
691 797 1
691 798 1
691 799 1
691 800 1
691 801 1
691 802 1
691 803 1
691 804 1
565 691 1
260 691 1
691 805 1
80 691 1
190 691 1
21 691 1
356 691 1
691 806 1
691 807 1
691 808 1
691 809 1
691 692 1
564 691 1
23 691 1
691 810 1
276 691 1
691 811 1
691 812 1
691 813 1
175 691 1
691 814 1
525 691 1
691 815 1
691 816 1
230 691 1
691 817 1
691 818 1
691 819 1
691 820 1
691 821 1
691 822 1
208 691 1
691 823 1
691 824 1
101 691 1
691 825 1
95 691 1
691 826 1
691 827 1
691 828 1
691 829 1
691 830 1
691 831 1
691 832 1
691 833 1
688 691 1
206 691 1
663 691 1
691 834 1
691 835 1
691 836 1
691 837 1
691 838 1
106 691 1
691 839 1
691 840 1
691 841 1
691 842 1
223 691 1
691 843 1
225 691 1
54 691 1
691 844 1
691 845 1
691 846 1
691 847 1
226 691 1
691 848 1
691 849 1
536 691 1
385 691 1
163 691 1
691 850 1
255 691 1
691 851 1
691 852 1
691 853 1
691 854 1
691 855 1
619 691 1
645 691 1
691 856 1
691 857 1
691 858 1
691 859 1
691 860 1
691 861 1
691 862 1
691 863 1
137 691 1
691 864 1
691 865 1
691 866 1
691 867 1
691 868 1
691 869 1
548 691 1
691 870 1
691 871 1
44 691 1
691 872 1
516 691 1
9 691 1
244 691 1
691 873 1
691 874 1
691 875 1
691 876 1
691 877 -1
542 691 1
691 878 1
193 691 1
691 879 1
691 880 1
691 881 1
691 882 1
285 691 1
691 883 1
259 691 1
691 884 1
691 885 -1
150 525 1
150 886 1
150 887 1
150 888 1
150 558 1
150 551 1
150 518 1
134 150 1
150 536 1
150 531 1
150 542 1
150 889 1
150 890 1
150 891 1
150 544 1
22 150 1
150 775 1
150 625 1
136 150 1
150 596 1
150 892 1
71 150 1
150 621 1
48 150 1
150 608 1
150 893 1
150 894 1
150 638 1
150 696 1
150 645 1
150 895 1
150 896 1
150 689 1
150 897 1
150 680 1
75 150 1
150 898 1
150 545 1
150 539 1
51 150 1
150 538 1
150 349 1
150 382 1
150 899 1
150 356 1
150 900 1
150 648 1
150 684 1
150 901 1
150 395 1
150 902 1
150 595 1
150 903 1
150 559 1
150 598 1
150 552 1
150 579 1
97 150 1
150 532 1
150 904 1
150 521 1
150 541 1
150 905 1
146 150 1
150 906 1
150 907 1
150 908 1
150 909 1
150 910 1
150 911 1
150 912 1
150 913 1
150 914 1
150 600 1
150 915 1
150 916 1
150 599 1
150 630 1
150 580 1
150 917 1
145 150 1
150 535 1
150 918 1
150 919 1
150 920 1
9 150 1
140 150 1
150 660 1
44 150 1
150 543 1
130 150 1
150 921 1
150 922 1
150 923 1
150 924 1
150 925 1
150 926 1
150 927 1
150 928 1
150 929 1
150 930 1
150 931 1
150 932 1
150 560 1
150 933 1
150 934 1
150 935 1
150 770 1
150 936 1
150 688 1
150 937 1
150 938 1
150 939 1
150 940 1
150 941 1
150 942 1
150 943 1
150 528 1
150 944 1
150 945 1
150 946 1
150 947 1
150 155 1
150 948 1
150 949 1
150 950 1
150 951 1
150 604 1
150 154 1
150 569 1
150 872 1
150 952 1
150 953 1
150 865 1
150 862 1
114 150 1
150 954 1
150 766 1
150 955 1
150 278 1
150 270 1
150 956 1
150 624 1
150 321 1
73 150 1
150 957 1
150 958 1
150 959 1
72 150 1
150 960 1
150 961 1
150 962 1
150 592 1
150 306 1
150 963 1
150 727 1
150 641 1
150 964 1
150 965 1
150 966 1
150 967 1
150 968 1
150 969 1
150 970 1
150 971 1
150 972 1
150 973 1
150 974 1
150 975 1
150 976 1
150 561 1
150 977 1
150 978 1
150 979 1
150 980 1
150 981 1
150 982 1
150 983 1
150 984 1
150 985 1
150 986 1
150 987 1
150 988 1
150 989 1
150 990 1
150 991 1
150 992 1
150 993 1
150 403 1
150 994 1
150 673 1
150 687 1
150 995 1
150 996 1
150 671 1
150 697 1
150 603 1
150 266 1
54 150 1
150 702 1
150 997 1
150 698 1
150 681 1
150 998 1
150 999 1
150 1000 1
150 618 1
150 1001 1
150 1002 1
150 1003 1
150 1004 1
150 1005 1
150 330 1
46 150 1
150 1006 1
150 716 1
150 1007 1
150 512 -1
150 591 -1
613 1008 1
613 1009 1
44 613 1
258 613 1
270 613 1
613 1010 1
613 1011 1
350 613 1
613 683 1
564 613 1
613 858 1
613 771 1
613 752 1
542 613 1
611 613 1
613 721 1
613 779 1
80 613 1
613 815 1
613 732 1
613 712 1
186 613 1
613 1012 1
613 857 1
525 613 1
613 713 1
563 613 1
185 613 1
613 1013 1
613 737 1
613 710 1
613 1014 1
613 1015 1
222 613 1
613 1016 1
613 1017 1
613 817 1
613 753 1
613 1018 1
613 1019 1
613 744 1
285 613 1
572 613 1
613 877 1
613 1020 1
613 1021 1
613 1022 1
549 613 1
613 763 1
613 1023 1
613 1024 1
613 1025 1
613 770 1
196 613 1
613 1026 1
81 613 1
613 785 1
613 1027 1
613 707 1
278 613 1
154 613 1
613 1028 1
613 1029 1
613 716 1
613 1030 1
40 613 1
613 1031 1
23 613 1
613 843 1
613 1032 1
613 832 1
613 814 1
613 1033 1
613 1034 1
613 1035 1
613 1036 1
239 613 1
613 1037 1
613 1038 1
613 1039 1
613 749 1
613 653 1
613 1040 1
613 1041 1
543 613 1
175 613 1
613 794 1
613 1042 1
140 613 1
613 1043 1
277 613 1
613 1044 1
613 729 1
613 1045 1
613 1046 1
613 1047 1
548 613 1
613 663 1
613 1048 1
613 614 1
613 1049 1
613 851 1
613 996 1
613 1050 1
93 613 1
84 613 1
613 1051 1
613 1052 1
613 1053 1
613 1054 1
613 1055 1
613 1056 1
162 613 1
423 613 1
613 1057 1
613 775 1
613 617 1
613 1058 1
613 812 1
553 613 1
41 613 1
613 1059 1
613 1060 1
613 733 1
613 1061 1
613 1062 1
613 1063 1
613 792 1
613 738 1
613 1064 1
208 613 1
613 822 1
130 613 1
613 1065 1
613 1066 1
613 1067 1
613 1068 1
310 613 1
613 1069 1
613 1070 1
232 613 1
613 823 1
613 825 1
613 1071 -1
613 1072 1
613 726 1
613 1073 1
613 841 1
613 1074 1
613 1075 -1
613 1076 -1
613 1077 -1
613 1078 -1
613 1079 -1
613 1080 -1
613 1081 -1
85 613 -1
613 1082 -1
613 1083 -1
585 613 -1
613 1084 -1
613 1085 -1
613 1086 -1
613 1087 -1
613 1088 -1
613 1089 -1
613 1090 -1
613 791 -1
613 1091 -1
613 1092 -1
613 1093 -1
613 1094 -1
613 1095 -1
132 613 -1
613 988 -1
613 1096 -1
613 1097 -1
613 1098 -1
613 1099 -1
613 1100 -1
613 1101 -1
613 1102 -1
613 1103 -1
613 1104 -1
613 1105 -1
613 1106 -1
613 1107 -1
613 1108 -1
712 1109 1
712 1110 1
712 744 1
43 712 1
712 719 1
542 712 1
712 857 1
712 862 1
541 712 1
712 1111 1
707 712 1
712 732 1
564 712 1
712 1112 1
712 1113 1
712 865 1
44 712 1
711 712 1
712 817 1
712 779 1
712 1017 1
712 1114 1
712 1115 1
712 1116 1
712 722 1
374 712 1
625 712 1
712 1117 1
712 721 1
456 712 1
712 1039 1
137 712 1
285 712 1
712 714 1
712 1118 1
367 712 1
47 712 1
570 712 1
530 712 1
712 1119 1
712 848 1
265 712 1
712 1120 1
712 820 1
548 712 1
712 1121 1
244 712 1
712 877 1
712 759 1
346 712 1
712 1122 1
9 712 1
712 851 1
712 1123 1
712 1124 1
712 1021 1
712 1125 1
712 1126 1
712 1127 1
712 1062 1
532 712 1
712 1128 1
588 712 1
712 715 1
712 1129 1
712 1130 1
712 1131 1
712 1132 1
228 712 1
712 1133 1
565 712 1
245 712 1
563 712 1
712 1049 1
31 712 1
712 1134 1
712 813 1
712 1135 1
712 1044 1
712 1136 1
543 712 1
559 712 1
118 712 1
202 712 1
69 712 1
712 771 1
712 1137 1
712 1138 1
547 712 1
712 1068 1
712 1139 1
196 712 1
712 1140 1
712 797 1
712 728 1
712 816 1
712 1141 1
712 737 1
712 1142 1
712 756 1
712 1143 1
712 1144 1
712 1145 1
598 712 1
259 712 1
554 712 1
712 1146 1
712 1147 1
515 712 1
712 1148 1
712 730 1
255 712 1
572 712 1
712 741 1
712 1149 1
712 1150 1
676 712 1
712 858 1
712 1151 1
689 712 1
712 1152 1
712 1153 1
712 823 1
410 712 1
712 1154 1
712 1155 1
51 712 1
306 712 1
52 712 1
34 712 1
712 1156 1
536 712 1
712 1157 1
277 712 1
575 712 1
712 1158 1
712 1159 1
712 1160 1
712 1161 1
712 1162 1
712 1163 1
712 881 1
712 1164 1
712 1165 1
712 880 1
712 1166 1
712 821 1
712 1167 1
712 1168 1
611 712 1
712 1169 1
712 1170 1
558 712 1
702 712 -1
712 885 -1
712 1171 -1
222 565 1
277 565 1
565 744 1
565 1172 1
565 1173 1
116 565 1
565 1174 1
565 1175 1
9 565 1
565 848 1
565 1176 1
565 880 1
542 565 1
565 823 1
565 778 1
565 690 1
565 1024 1
565 1168 1
565 730 1
565 1177 1
137 565 1
565 1178 1
44 565 1
127 565 1
565 625 1
565 688 1
245 565 1
565 1111 1
548 565 1
565 1052 1
565 588 1
565 1179 1
80 565 1
81 565 1
565 610 1
565 716 1
565 851 1
565 1153 1
565 733 1
565 854 1
565 804 1
565 1180 1
565 1119 1
51 565 1
565 1181 1
565 857 1
565 1033 1
565 1182 1
543 565 1
130 565 1
565 765 1
529 565 1
565 763 1
565 1183 1
565 1184 1
565 1009 1
565 1185 1
565 820 1
565 585 1
565 1186 1
21 565 1
565 1187 1
565 1188 1
565 1189 1
565 1190 1
565 1191 1
565 1035 1
565 801 1
118 565 1
565 1147 1
565 1032 1
565 1152 1
565 743 1
565 1192 1
565 683 1
14 565 1
565 1100 1
565 922 1
565 1193 1
565 685 1
565 660 1
565 1194 1
553 565 1
565 1195 1
563 565 1
313 565 1
565 1196 1
565 1197 1
565 1198 1
565 1199 1
565 1200 1
565 1201 1
61 565 1
565 1202 1
565 1203 1
565 811 1
565 572 1
565 1112 1
565 1204 1
565 1101 1
565 1116 1
564 565 1
429 565 1
565 1205 1
565 825 1
565 1206 1
196 565 1
565 1207 1
565 628 1
565 835 1
565 1208 1
565 1209 1
565 782 1
226 565 1
565 1210 1
565 764 1
565 1211 1
565 1212 1
565 1213 1
263 565 1
546 565 1
565 863 1
559 565 1
565 579 1
565 769 1
451 565 1
536 565 1
565 1214 1
565 1215 1
565 758 1
565 1216 1
265 565 1
565 1217 1
565 1157 1
565 1218 1
565 1219 1
565 1220 1
565 1221 1
516 565 1
565 1222 1
175 565 1
565 1223 1
350 565 1
565 1224 1
565 1225 1
565 1226 1
565 1227 1
565 1228 1
565 1229 1
547 565 1
565 1230 1
565 626 1
565 1231 1
84 565 1
362 565 1
565 1232 1
565 1233 1
565 611 1
565 638 1
565 1234 1
565 1235 1
565 566 1
306 565 1
565 1236 1
565 1237 1
565 1238 1
198 565 1
565 1239 1
565 1240 1
557 565 1
285 565 1
520 565 1
565 1241 1
163 565 1
122 565 1
26 565 1
565 1242 1
565 1243 1
140 565 1
565 1244 1
565 1245 1
565 1246 1
565 1247 1
565 1248 -1
565 1249 -1
565 1080 -1
565 1250 -1
565 1251 -1
565 1252 -1
565 1253 -1
565 885 -1
565 1254 -1
565 717 1
565 618 1
565 1255 1
69 565 1
565 1256 1
565 1257 1
565 806 1
237 565 1
565 1258 1
456 565 1
565 1259 1
176 565 1
565 1163 1
481 565 1
565 1260 1
565 1261 1
565 1262 -1
510 565 -1
565 1026 -1
565 938 -1
565 1145 -1
565 1075 -1
565 1105 -1
565 1263 -1
565 1264 -1
565 1265 -1
565 1266 -1
565 1267 -1
541 565 -1
515 565 -1
565 1268 -1
565 1269 -1
565 1270 -1
565 1271 -1
565 1272 -1
565 1273 -1
565 1274 -1
565 1275 -1
565 1276 -1
548 885 1
548 744 1
548 957 1
548 1277 1
548 816 1
541 548 1
548 758 1
114 548 1
548 1278 1
548 713 1
277 548 1
548 1279 1
548 847 1
548 862 1
30 548 1
548 1004 1
548 1139 1
548 690 1
548 1280 1
548 1281 1
244 548 1
548 625 1
548 1003 1
516 548 1
548 716 1
548 611 1
548 857 1
548 564 1
548 1282 1
548 1117 1
548 1081 1
548 1024 1
548 1055 1
548 759 1
222 548 1
548 832 1
63 548 1
548 714 1
548 683 1
548 732 1
548 1283 1
548 575 1
548 685 1
548 1284 1
529 548 1
548 1146 1
547 548 1
548 585 1
548 1188 1
548 1285 1
548 1286 1
548 1287 1
548 1288 1
548 1231 1
548 1289 1
54 548 1
548 1168 1
548 599 1
451 548 1
9 548 1
237 548 1
548 856 1
548 1290 1
548 1291 1
548 1292 1
285 548 1
548 1293 1
548 1294 1
548 775 1
548 1228 1
548 955 1
548 840 1
548 1052 1
520 548 1
548 660 1
548 1295 1
548 1296 1
548 1297 1
548 1298 1
548 812 1
548 1299 1
548 1115 1
548 1300 1
548 804 1
548 922 1
548 1301 1
548 715 1
548 1208 1
548 1124 1
548 940 1
118 548 1
548 794 1
548 842 1
548 796 1
548 769 1
175 548 1
43 548 1
399 548 1
548 1119 1
548 1180 1
548 1302 1
116 548 1
548 1303 1
548 598 1
548 956 1
522 548 1
548 1142 1
548 1304 1
548 664 1
548 877 1
548 813 1
548 1222 1
548 623 1
548 848 1
548 1229 1
548 1033 1
548 1305 1
360 548 1
548 572 1
548 1306 1
548 1239 1
548 1307 1
548 645 1
44 548 1
548 839 1
548 1035 1
548 1308 1
137 548 1
245 548 1
548 1309 1
548 736 1
548 1014 1
548 1310 1
548 1311 1
40 548 1
548 729 1
548 1038 1
548 1080 1
548 563 1
548 1312 1
548 681 1
548 1165 1
548 1313 1
548 1017 1
548 1314 1
548 1137 1
548 717 1
548 806 -1
232 548 -1
548 983 -1
548 1011 -1
548 777 -1
548 1315 -1
518 548 -1
23 548 -1
548 1025 -1
548 1041 -1
548 1316 -1
548 1317 -1
548 1031 -1
548 549 -1
548 573 -1
548 1318 -1
548 1234 -1
548 1319 -1
260 548 -1
548 1043 -1
548 1320 -1
548 1321 -1
548 801 -1
548 869 -1
548 1322 -1
548 1323 -1
548 1153 -1
548 1324 -1
548 743 -1
548 1325 -1
548 1326 -1
548 1327 -1
321 548 -1
34 548 -1
548 693 -1
548 1042 -1
548 1328 -1
548 554 -1
548 1241 -1
524 548 -1
548 1223 -1
548 1329 -1
548 1330 -1
548 1331 -1
548 1332 -1
187 548 -1
548 1333 -1
548 1334 -1
548 1335 -1
548 1336 -1
548 1337 -1
548 1338 -1
548 1339 -1
548 1340 -1
548 1341 -1
548 1342 -1
548 1343 -1
548 1344 -1
548 1345 -1
548 1346 -1
548 1347 -1
548 1348 -1
548 1349 -1
548 1350 -1
548 1351 -1
548 1352 -1
548 656 -1
548 1353 -1
548 1354 -1
548 1355 -1
548 1053 -1
363 548 -1
194 548 -1
548 1356 -1
548 1357 -1
548 1358 -1
548 1359 -1
90 548 -1
548 1360 -1
548 1361 -1
265 548 -1
548 1096 -1
255 548 -1
361 548 -1
548 1362 -1
548 762 -1
548 1143 -1
548 799 -1
548 730 -1
548 1363 -1
420 548 -1
548 1364 -1
548 1365 -1
548 1366 -1
548 1367 -1
548 1368 -1
293 548 -1
548 1369 -1
548 1098 -1
548 1370 -1
548 1097 -1
548 1371 -1
548 1372 -1
548 1373 -1
548 1374 -1
548 1375 -1
19 548 -1
548 854 -1
548 1376 -1
548 1095 -1
134 548 -1
548 1266 -1
548 1267 -1
548 1377 -1
548 702 -1
548 1378 -1
548 1379 -1
548 1380 -1
548 1263 -1
548 1381 -1
548 1382 -1
548 1383 -1
548 1384 -1
548 1385 -1
548 1386 -1
548 1387 -1
182 548 -1
136 1388 1
136 554 1
136 682 1
44 136 1
136 525 1
136 521 1
31 136 1
134 136 1
136 536 1
136 140 1
136 618 1
136 563 1
136 270 1
136 1389 1
136 751 1
136 763 1
136 951 1
136 543 1
136 1390 1
136 591 1
71 136 1
49 136 1
136 638 1
136 1022 1
136 137 1
136 262 1
136 1391 1
136 546 1
136 361 1
73 136 1
136 566 1
136 628 1
136 522 1
136 660 1
136 575 1
136 1392 1
136 621 1
130 136 1
136 1393 1
136 1394 1
51 136 1
136 692 1
136 1395 1
136 843 1
136 558 1
136 350 1
136 557 1
136 877 1
136 1396 1
136 1241 1
136 626 1
136 316 1
136 580 1
136 1397 1
136 534 1
136 1398 1
136 351 1
136 529 1
22 136 1
15 136 1
136 346 1
135 136 1
136 1399 1
136 1400 1
136 1179 1
136 349 1
136 1401 1
136 1402 1
136 352 1
136 1403 1
136 921 1
136 930 1
136 1404 1
136 1405 1
136 360 1
47 136 1
136 564 1
118 136 1
136 813 1
136 1406 1
136 1407 1
136 1408 1
136 395 1
136 410 1
136 541 1
136 542 1
136 520 1
136 880 1
136 732 1
136 629 1
84 136 1
136 631 1
136 1409 1
136 1320 1
136 1410 1
116 136 1
136 1411 1
136 576 1
136 1369 1
136 1412 1
136 961 1
136 175 1
136 1413 1
136 1414 1
136 1197 1
83 136 1
136 1415 1
136 1308 1
136 1416 1
136 1417 1
136 138 1
136 1418 1
136 1419 1
136 508 1
136 823 1
136 1420 1
136 911 1
136 797 1
136 355 1
136 556 1
136 1421 1
136 1422 1
136 1423 1
136 1424 -1
136 1425 -1
136 1426 -1
136 530 -1
136 716 -1
136 555 -1
